,Team,Player,Mouse,DPI,X-Axis Sens,Y-Axis Sens,Targeting Sens,Scope Sens,Monitor,Resolution,Mousepad,Keyboard,Headset,Chair
,Content Creator,MarkiLokuras,Logitech G Pro X Superlight Black,1150,12%,12%,63.6%,55.8%,ZOWIE XL2546,1920x1080,,Wooting 80HE Black,Logitech G Pro X Wireless Headset,Secretlab Titan EVO 2022
,Content Creator,RazorX,,,,,,,ASUS VG248QE,,,Wooting 60HE+,HyperX Cloud II,
,Content Creator,premfn,Logitech G Pro X Superlight 2 Black,800,5.7%,5.7%,48.7%,48.1%,ASUS TUF VG279QM,1920x1080,Artisan Ninja FX Zero Soft Black,SteelSeries Apex Pro Mini Black,HyperX Cloud III,
,Content Creator,AyarBaffo,,,,,,,Acer Predator X25,1920x1080,,Wooting 80HE Black,,DXRacer Formula
,Content Creator,MOTOR,Razer Viper V3 Pro Black,800,8.0%,8.0%,100.0%,100.0%,ASUS VG248QE,1920x1080,,Wooting 80HE Black,HyperX Cloud II,Secretlab Titan EVO 2022
,Content Creator,Teeqzy,WLMouse BEAST X Mini Black,400,12.0%,12.0%,50.0%,49%,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,Wooting 60HE+,HyperX Cloud II,DXRacer Prince
,Content Creator,Zemie,Logitech G Pro X Superlight Black,800,5.5%,5.5%,32.6%,42.6%,Alienware AW2521HF,1920x1080,Glorious 3XL,Kraken Pro 60,HyperX Cloud II,MAVIX M4
,Content Creator,SypherPK,Razer Viper V3 Pro Black,400,16.0%,16.0%,40.0%,40.0%,Alienware AW2518H,1920x1080,ROCCAT Taito Control,Razer Huntsman V3 Pro Mini Black,JBL Quantum One,Logitech G x Herman Miller Embody
,Content Creator,Nick Eh 30,Razer Viper Mini,2000,10.0%,5.0%,30.0%,50.0%,Alienware AW2720HF,1920x1080,Custom Mousepad,Razer Huntsman TE,beyerdynamic DT 990 Pro,Herman Miller Aeron
,Content Creator,Martoz,Logitech G Pro Wireless,800,6.4%,6.4%,45.0%,45.0%,ZOWIE XL2566K,1720x1080,Artisan Ninja FX Zero Soft Black,Razer Huntsman V3 Pro TKL Black,SteelSeries Arctis Pro Wireless,
,Content Creator,Fresh,FinalMouse Air58 Ninja CBR,800,6.0%,6.0%,75.0%,75.0%,Alienware AW2521H,1920x1080,Glorious 3XL,SteelSeries Apex Pro Mini Black,beyerdynamic DT 1990 PRO,Herman Miller Aeron
,Content Creator,POW3R,VAXEE ZYGEN NP-01,400,11.6%,11.6%,70.0%,70.0%,ASUS ROG SWIFT PG258Q,1920x1080,Fnatic DASH,Fnatic miniSTREAK,Sennheiser HD800 S,
,Content Creator,Jacob,SteelSeries Aerox 5 Wireless,800,8.7%,8.7%,52.5%,52.5%,ASUS ROG SWIFT PG259QN,1920x1080,SteelSeries QcK+,SteelSeries Apex Pro TKL Wireless (2023),SteelSeries Arctis Nova Pro Wireless,
,Content Creator,Raider464,Finalmouse Ultralight 2,400,16.0%,16.0%,50.0%,50.0%,GIGABYTE AORUS KD25F,1920x1080,Logitech G840,SteelSeries Apex Pro TKL,,
,Content Creator,Mongraal,Logitech G402,800,6.7%,6.7%,50.0%,50.0%,ASUS PG248QP,1920x1080,Glorious 3XL,SteelSeries Apex Pro TKL,beyerdynamic DT 1990 PRO,Herman Miller Aeron
,Content Creator,Sommerset,Logitech G Pro X Superlight 2 Black,800,6.4%,6.4%,45.9%,50.1%,AlienWare AW2518HF,1920x1080,4114 Fragment Aero,Razer Huntsman V3 Pro Mini Black,HyperX Cloud Alpha,MAVIX M9
,Content Creator,Jarvis,,,,,,,Alienware AW2518H,1920x1080,,,SteelSeries Arctis 5,
,Content Creator,Myth,Logitech G703,700,3.1%,3.1%,28.5%,23.9%,ASUS ROG SWIFT PG258Q,1920x1080,Logitech G840,Logitech G Pro X Keyboard,beyerdynamic DT 990 Pro,
,Content Creator,HaloBT,Logitech G502 HERO,200,17.0%,17.0%,40.0%,40.0%,ViewSonic XG2560,1920x1080,,Razer Huntsman V2,beyerdynamic DT 990 Pro,
,Content Creator,Wraxx,Logitech G Pro Wireless,800,8.0%,8.0%,25.0%,25.0%,Samsung C24RG54FQU,1920x1080,Custom Mousepad,Wooting 80HE Ghost,beyerdynamic DT 990 Pro,
,Content Creator,MrSavage,Logitech G Pro X Superlight 2 Black,800,9.1%,9.1%,49.0%,49.0%,ASUS PG248QP,1920x1080,GameSense Radar Benjyfishy,SteelSeries Apex Pro Mini Black,beyerdynamic MMX 300,Secretlab Titan
,Content Creator,Ninja,Logitech G Pro Wireless,800,5.5%,5.5%,28.5%,28.5%,Alienware AW2518H,2560x1440,HyperX Fury S Pro,SteelSeries Apex Pro TKL,beyerdynamic DT 1990 PRO,
,Retired,Riversan,Logitech G Pro Wireless,800,6.5%,6.5%,50.0%,50.0%,Alienware AW2518H,1920x1080,Inked Gaming Custom Mousepad,SteelSeries Apex Pro TKL,Logitech G Pro X Headset,Secretlab Titan EVO 2022
,Retired,Dubs,FinalMouse Air58 Ninja CBB,800,6.0%,6.0%,100.0%,100.0%,Alienware AW2518H,1920x1080,Glorious 3XL,SteelSeries Apex Pro TKL,Victrix Pro AF,
,Retired,nyhrox,Razer Viper V3 Pro Black,800,6.0%,6.0%,37.5%,37.5%,Alienware AW2518H,1811x1080,Razer Gigantus V2 XXL,Razer Huntsman V3 Pro,Razer BlackShark V2 Pro Black,Secretlab Titan EVO 2022
